product-name,description,category,sub-category,brand
Vinyl Jacket,"<p>Inspired by the house's emblematic 1971 style, this iconic vinyl jacket features a tone-on-tone AC logo inlaid on the chest.</p><p>With two side pockets and a press buttons closure in the middle front and on the cuffs, as well as a high collar. This model is lined.</p><p>For more comfort, we recommend that you choose a size larger than your usual size.</p><p>Colour: Black.</p><p>Main fabrics : 88% Cotton 10% Polyuréthane 2% Elasthanne. Lining : 55% Nylon 25%Polyuréthane 20% Elasthanne.</p>",Men,Coats & Jackets,Courrèges
,,,,
,,,,
,,,,
,,,,
,,,,
Padded Tech Cassette,"<p>Medium padded intreccio nylon cross-body bag. Single detachable interior zipped pocket. Magnetic closure. Unlined.</p><p>Colour: Frost. Hardware: Silver finish.</p><p>Height: 15 cm | 5.9"". Width: 30 cm | 11.8"". Depth: 7.5 cm | 3"". Strap drop: 58 cm | 22.8"".</p><p>100% Polyamide.</p>",Men,Bags,Bottega Veneta
Ace Gucci Signature sneaker,<p>Black Gucci Signature leather.</p><p>Rubber sole.</p><p>Made in Italy.</p>,Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Oversized Sneaker ,"<p>White smooth shiny classic calf leather lace up sneaker with oversized rounded rubber toe and black back details. Perforated air hole detail on sneaker. Kid leather lining and 7 hole metal eyelets. Flat large laces with Alexander McQueen logo on tongue and back counter.</p><p>Oversized rubber sole. The sneakers come with an additional set of laces.</p><p>100% Calfskin.</p><p>To lessen our environmental impact and to reduce cotton consumption, we will no longer be providing a dust bag with our sneaker.</p>",Men,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Baggy Jogging Pants,"<p>Baggy Jogging Pants in black heavy fleece is in several looks of the Balenciaga’s Summer 22, Red Carpet Collection</p><p>Heavy fleece</p><p>Large fit</p><p>Mid-waist</p><p>Elasticated waistband</p><p>2 slash pockets</p><p>Made in Portugal</p><p>Dry cleaning</p><p></p><p>Material: 80% cotton, 20% polyester",Men,Bottoms,Balenciaga
,,,,
,,,,
Mono Rectangle Sunglasses,"<p>Mono Rectangle Sunglasses in black nylon, black nylon injected temples with black lenses</p><p>Temple length : 4,9 inch</p><p>Bridge width : 0,04 inch</p><p>Full lens narrow rectangle mask</p><p>Standard fit</p><p>Extra wrapping style in thick lens</p><p>Signature Balenciaga logo laser engraved in low relief and enameled on left temple</p><p>Adjustable nosepads with BB printed logo increasing fitting comfort</p><p>Lens Category 3</p><p>100% UVA/UVB protection</p><p>Made in Japan</p><p>Wipe with a soft cloth</p><p>BB0041S 001</p><p>Material: 100% nylon",Men,Accessories,Balenciaga
New C-Shape Puffer Jacket,<p>New C-Shape Puffer Jacket in black technical ripstop</p><p>Technical ripstop</p><p>Filled with cotton wool</p><p>Cocoon volume</p><p>High neck</p><p>2 zipped pockets</p><p>Drawstring at the bottom</p><p>Made in France</p><p>Dry cleaning</p><p>Material: 100% polyester,Men,Coats & Jackets,Balenciaga
,,,,
,,,,
,,,,
Puddle Bomber,"<p>Padded technical fabric lace-up boots. Lining: Sporty mesh fabric.</p><p>Colour: Grass. Rubber outsole.</p><p>Flatform: 6 cm. Take care when using on particularly slippery surfaces.</p><p>50% Polyamide, 50% Rubber.</p>",Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Normal Fit Pants,<p>Normal Fit Pants in black Japanese denim</p><p>Japanese denim</p><p>This item is unisex</p><p>Regular fit</p><p>Mid-waist</p><p>Covered zip fly</p><p>5 pockets</p><p>5 belt loops</p><p>Balenciaga engraved flex buttons</p><p>Balenciaga Jeans patch at back</p><p>Made in Tunisia</p><p>Dry cleaning</p><p>Material: 100% cotton,Men,Bottoms,Balenciaga
,,,,
,,,,
,,,,
Runner Sneaker,"<p>Runner Sneaker in black mesh and nylon</p><p>Leather free</p><p>Sneaker</p><p>Mesh and nylon</p><p>Worn-out effect</p><p>Printed size at the edge of the toe</p><p>Embossed size at back</p><p>Runner logo printed on exterior</p><p>Balenciaga logo embroidered on the tongue</p><p>Balenciaga logo at the back of the heel</p><p>Back pull-on tab</p><p>Made in China</p><p>Wipe with a soft cloth</p><p>Material: 70% polyester, 30% polyurethane",Men,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Classic Intrecciato,"<p>Small intrecciato leather document case. Single exterior zipped pocket. Six interior card slots, two open pockets, one compartment. Zip closure with detachable wristlet.</p><p>Colour: Camping. Hardware: Silver finish.</p><p>Height: 20.5 cm | 8"". Width: 27.5 cm | 10.8"". Depth: 2 cm | 0.8"". Handle drop: 18 cm | 7"".</p><p>100% Calf Skin. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Oversize t-shirt,<p>Black cotton. Crewneck. Long sleeves. Oversize fit.</p><p>100% cotton. Made in Italy.</p>,Men,Tops,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Classic Intrecciato,"<p>Intrecciato leather cross-body bag. Two press stud-connected pouches. Zip closure.</p><p>Colour: Parakeet. Hardware: Silver finish.</p><p>Height: 16 cm | 6.3"". Width: 26 cm | 10.2"". Depth: 9 cm | 3.5"". Strap drop: 60 cm | 23.6"".</p><p>60% Calf Skin, 40% Polypropilene. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Shoulder Buttons Sweater,<p>Long-sleeved full neddle knit jumper with snaps tab on the left shoulder. AC logo on the front.</p><p>Colour: Black.</p><p>Main fabrics: 70% Viscose Fsc 30% Polyester.</p>,Men,Tops,Courrèges
,,,,
,,,,
Vest,<p>Intrecciato tech nylon vest. Snap closure. Unlined.</p><p>Colour: Parakeet.</p><p>100% Polyamide.</p>,Men,Coats & Jackets,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
McQueen Classic Leather Biker Jacket ,<p>Black soft grain leather biker jacket detailed with McQueen signature snap buttons and hammered stud zip detailing in silver finishing.</p><p>100% Lamb Leather.</p>,Men,Coats & Jackets,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
Hat,"<p>Jacquard intreccio pattern nylon hat.</p><p>Colour: White.</p><p>75% Polyamide, 25% Polyester.</p>",Men,Accessories,Bottega Veneta
,,,,
Classic Intrecciato,"<p>Intrecciato leather tote bag with webbing handle. Single detachable interior zipped pocket.</p><p>Colour: Black. Hardware: Silver finish.</p><p>Height: 42 cm | 16.5"""". Width: 38 cm | 15"". Depth 9 cm | 3.5"". Handle drop: 22 cm | 8.7"".</p><p>60% Calf Skin, 40% Polypropilene. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Classic Intrecciato,"<p>Small intrecciato leather document case. Single exterior zipped pocket. Six interior card slots, two open pockets, one compartment. Zip closure with detachable wristlet.</p><p>Colour: Parakeet. Hardware: Silver finish.</p><p>Height: 20.5 cm | 8"". Width: 27.5 cm | 10.8"". Depth: 2 cm | 0.8"". Handle drop: 18 cm | 7"".</p><p>100% Calf Skin. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Fleece Hoodie,<p>Organic cotton fleece hoodie. AC logo and Courrèges branding label on the front.</p><p>Colour: Stonewashed Grey.</p><p>Main fabrics: 100% Coton Bio.</p>,Men,Tops,Courrèges
,,,,
,,,,
,,,,
,,,,
Puddle Ankle Boot,<p>Glitter rubber ankle boots. Lining: Cotton.</p><p>Colour: Silver. One-piece moulded shoe.</p><p>Flatform: 5.5 cm. Take care when using on particularly slippery surfaces.</p><p>100% Rubber.</p>,Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
McQueen Graffiti T-Shirt,<p>White organic light jersey t-shirt with a screen-printed McQueen graffiti logo and an Alexander McQueen signature.</p><p>100% Cotton.</p>,Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Tennis 1977 GG Multicolour sneaker,<p>Gucci Tennis 1977 sneaker from GG Multicolour capsule.</p><p>Yellow and blue GG canvas. Men's Blue and red Web. Blue grosgrain trim. White contrast details. Gucci Tennis 1977 label GG motif at the sole.</p><p>Rubber sole. Lace-up closure. 15mm height. Made in Italy.</p>,Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Padded Tech Cassette,"<p>Medium padded intreccio nylon cross-body bag. Single detachable interior zipped pocket. Magnetic closure .Unlined.</p><p>Colour: Fondant. Hardware: Silver finish.</p><p>Height: 15 cm | 5.9"". Width: 30 cm | 11.8"". Depth: 7.5 cm | 2.9"". Strap drop: 58 cm | 22.8"".</p><p>100% Polyamide.</p>",Men,Bags,Bottega Veneta
Ace embossed GG Rhombus sneaker,<p>Yellow embossed leather.</p><p>Skye blue detail at the back.</p><p>Made in Italy.</p>,Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Nylon swim shorts,"<p>Mulberry waterproof nylon. Elastic waistband with drawstring.</p><p>Length: 42cm, based on a size small.</p><p>100% polyamide.</p><p>Made in Italy.</p>",Men,Swimwear,Gucci
,,,,
,,,,
,,,,
,,,,
Intreccio Pattern Cotton Bathrobe,<p>Intrecciato pattern cotton terry bathrobe.</p><p>Wide side pockets. Self fabric belt.</p><p>Colour: Grass.</p><p>100% Cotton.</p>,Men,Swimwear,Bottega Veneta
,,,,
,,,,
Hat,"<p>Jacquard intreccio pattern nylon hat.</p><p>Colour: Black.</p><p>75% Polyamide, 25% Polyester.</p>",Men,Accessories,Bottega Veneta
,,,,
Tennis 1977 GG Multicolour high-top,<p>Gucci Tennis 1977 high-top sneaker.</p><p>Green and blue GG canvas. Men's Green and red Web. Blue grosgrain trim. White contrast details. Gucci Tennis 1977 label GG motif at the sole. Rubber sole.</p><p>Lace-up closure. 20mm height. Made in Italy.</p>,Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
McQueen Embroidered Crew Neck Sweater,<p>Ivory cotton crew-neck sweater with an embroidered McQueen signature.</p><p>100% Cotton.</p>,Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
Tire Ankle Chelsea Boot,"<p>Vegetally-tanned leather cropped Chelsea boots. Lining: Calfskin.</p><p>Colour: Black/Green. Rubber outsole.</p><p>Flatform: 5.5 cm. Fits large, take one size down.</p><p>100% Calf Skin.</p>",Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Classic Intrecciato,"<p>Intrecciato leather tote bag with webbing handle. Single detachable interior zipped pocket.</p><p>Colour: Kiwi. Hardware: Silver finish.</p><p>Height: 42 cm | 16.5"". Width: 38 cm | 15"". Depth: 9 cm | 3.5. Handle drop: 22 cm | 8.7"".</p><p>
60% Calf Skin, 40% Polypropilene. </p><p>Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Cotton Poplin Shirt,<p>White organic cotton poplin shirt with a concealed placket.</p><p>100% Cotton.</p>,Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
McQueen Graffiti Metropolitan Backpack ,"<p>Black canvas jacquard metropolitan backpack with a contrasting McQueen Graffiti signature.</p><p>One central compartment with an internal computer pocket, one open pocket and one card slot. One front zip pocket. Adjustable padded shoulder straps. </p><p> Webbed nylon top handle. Signature fabric lining. Hardware in black matte finishing.</p><p>100% Polyester. Dimensions: 31 x 43.5 x 18.5cm / 12.2 x 17.12 x 7.28 inches.</p>",Men,Bags,Alexander McQueen
Shoulder Buttons Sweater,<p>Long-sleeved full neddle knit jumper with snaps tab on the left shoulder. AC logo on the front.</p><p>Colour: Dark green.</p><p>Main fabrics: 70% Viscose Fsc 30% Polyester.</p>,Men,Tops,Courrèges
,,,,
,,,,
Oversized Sneaker ,"<p>Bi-colour crystal-embellished lace-up sneaker. The sneaker features large flat laces and an oversized rubber sole. Finished with an Alexander McQueen signature on the heel counter.</p><p>Oversized rubber sole with signature stamp design. The sneakers come with an additional lace set. 100% Goatskin.</p><p>To lessen our environmental impact and to reduce cotton consumption, we will no longer be providing a dust bag with our sneakers. </p>",Men,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Sprint Runner,"<p>Sprint Runner with a pieced and patched upper silhouette in white nappa leather featuring an embossed Seal logo on the side and an Alexander McQueen signature on the heel counter.</p><p>The sneaker features an oversized runner sole, large flat laces, a padded heel counter and tongue with an Alexander McQueen signature.</p><p>The sneakers come with an additional set of shoelaces.</p><p>100% Calf Leather.</p>",Men,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Padded Tech Cassette,"<p>Medium padded intreccio nylon cross-body bag. Single detachable interior zipped pocket. Magnetic closure. Unlined.</p><p>Colour: Camping. Hardware: Silver finish.</p><p>Height: 15 cm | 5.9"". Width: 30 cm | 11.8"". Depth: 7.5 cm | 2.9"". Strap drop: 58 cm | 22.8"".</p><p>100% Polyamide.</p>",Men,Bags,Bottega Veneta
McQueen Graffiti T-Shirt ,<p>Black organic light jersey t-shirt with a screen-printed McQueen graffiti logo and an Alexander McQueen signature.</p><p>100% Cotton.</p>,Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
Small Four-Ring Zip Pouch,"<p>Black embossed croc calfskin leather Small Four-Ring Zip Pouch with a silver-finished handle, adorned with sculpted skull rings.</p><p>One main compartment with an internal card slot. Antique silver-finished chunky zip fastening. Black suede lining. Accommodates smartphones.</p><p>Dimensions: 25 x 15.5 x 3cm / 9.8 x 6.1 x 1 inches. 100% Calf Leather.</p><p>Due to the appearance of the product, we recommend stowing it in your hold luggage when passing through airport security. For the same reason we recommend not taking the bag to public places, such as law courts and sports stadiums, where there may be security checks.</p>",Men,Bags,Alexander McQueen
Harness Shirt,"<p>White cotton poplin harness shirt with detailed with a metal buckle. Finished with a buttoned front and a double button cuff.</p><p> 78% Cotton, 16% Polyamide, 6% Elastane.</p>",Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
Sprint Runner,"<p>Sprint Runner with a pieced and patched upper silhouette in black nappa leather featuring an applique Seal logo on the side and an Alexander McQueen signature on the heel counter.</p><p>The sneaker features an oversized runner sole, large flat laces, a padded heel counter and tongue with an Alexander McQueen signature.</p><p>The sneakers come with an additional set of shoelaces.</p><p>100% Lambskin.</p>",Men,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Puddle Ankle Boot,<p>Glitter rubber ankle boots. Lining: Cotton.</p><p>Colour: Gold. One-piece moulded shoe.</p><p>Flatform: 5.5 cm. Take care when using on particularly slippery surfaces.</p><p>100% Rubber.</p>,Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
5-Pocket Vinyl Trousers,<p>5-pocket straight vinyl pants.</p><p>Color : Black.</p><p>Main fabrics : 88% Cotton 10% Polyurethane 2% Elasthane. Lining : 100% Cotton.</p>,Men,Bottoms,Courrèges
,,,,
,,,,
,,,,
,,,,
Classic Intrecciato,"<p>Intrecciato leather cross-body bag. Two press stud-connected pouches. Zip closure.</p><p>Colour: Black. Hardware: Silver finish.</p><p>Height: 16 cm | 6.3"". Width: 26 cm | 10.2"". Depth: 9 cm | 3.5"". Strap drop: 60 cm | 23.6"".</p><p>60% Calf Skin, 40% Polypropilene. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Cotton Swallow T-Shirt,<p>Short-sleeved T-shirt in cotton with swallow neckline. AC logo and Courrèges branding label on the front. </p><p>Colour: Heritage white.</p><p>Main fabrics: 100% Coton.</p>,Men,Tops,Courrèges
,,,,
,,,,
,,,,
,,,,
Off The Grid card case,"<p>Gucci Off The Grid is the first collection from Gucci Circular Lines— a concept created to support the House's vision for circular production. Designed for those mindful of their environmental impact, Gucci Off The Grid uses recycled, organic, bio-based and sustainably sourced materials.</p><p>Blue GG nylon made from ECONYL®— a nylon fabric sourced from regenerated materials (from fish nets, carpets and other scraps) that can be recycled and recreated, aiding in decreasing its ecological footprint.<p>Black leather trim. Lining in viscose sourced from sustainably managed forests. Insert in leather made through an alternative metal or chrome free tanning process, reducing the environmental footprint compared to traditional methods.</p><p>Four card slots. Zipper pocket ID window. Zipper closure.</p><p>Dimensions: W12cm x H8cm. Made in Italy.</p>",Men,Accessories,Gucci
Hat,"<p>Jacquard intreccio pattern nylon hat.</p><p>Colour: Parakeet.</p><p>75% Polyamide, 25% Polyester.</p>",Men,Accessories,Bottega Veneta
,,,,
,,,,
Tire Ankle Chelsea Boot,"<p>Vegetally-tanned leather cropped Chelsea boots. Lining: Calfskin.</p><p>Colour: Black/Red. Rubber outsole.</p><p>Flatform: 5.5 cm. Fits large, take one size down.</p><p>100% Calf Skin.</p>",Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Cotton Swallow T-Shirt,<p>Short-sleeved T-shirt in cotton with swallow neckline. AC logo and Courrèges branding label on the front.</p><p>Colour: Black.</p><p>Main fabrics: 100% Coton.</p>,Men,Tops,Courrèges
,,,,
,,,,
,,,,
,,,,
Puddle Bomber,"<p>Padded technical fabric lace-up boots. Lining: Sporty mesh fabric.</p><p>Colour: String/Egg Yolk. Rubber outsole.</p><p>Flatform: 6 cm. Take care when using on particularly slippery surfaces.</p><p>50% Polyamide, 50% Rubber.</p>",Men,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
T-Shirt,<p>Sunrise light cotton T-shirt. 'Bottega' tonal embroidery on back. Regular fit.</p><p>Colour: Black.</p><p>100% Cotton.</p>,Men,Tops,Bottega Veneta
,,,,
,,,,
,,,,
Classic Intrecciato,"<p>Small intrecciato leather document case. Single exterior zipped pocket. Six interior card slots, two open pockets, one compartment. Zip closure with detachable wristlet.</p><p>Colour: Black. Hardware: Silver finish.</p><p>Height: 20.5 cm | 8"". Width: 27.5 cm | 10.8"". Depth: 2 cm | 0.8"". Handle drop: 18 cm | 7"".</p><p>100% Calf Skin. Lining: Bonded suede.</p>",Men,Bags,Bottega Veneta
Polo,"<p>Green stretch cotton piquet with GG embroidery. Short sleeves. Button-through placket with mother of pearl buttons.</p><p>93% cotton, 7% elastane. Made in Italy.</p>",Men,Tops,Gucci
,,,,
,,,,
Sneaker leather,"<p>Classic low-top sneaker in silver metallic leather with blue ayers snake detail. Rubber sole.</p><p>These shoes run big, we recommend sizing down half a size. Made in Italy.</p>",Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Hooded Sweatshirt,<p>Sand felted cotton. Domed leather shoulder.  Ribbed cuffs and hem. Interlocking G jacquard stripes. Drawstring hood.</p><p>100% cotton. Made in Italy.</p>,Men,Tops,Gucci
,,,,
,,,,
,,,,
Off The Grid Beltbag,"<p>Gucci Off The Grid is the first collection from Gucci Circular Lines— a concept created to support the House's vision for circular production. Designed for those mindful of their environmental impact, Gucci Off The Grid uses recycled, organic, bio-based and sustainably sourced materials. Regenerated nylon, crafted using recycled sewing thread and trims displays the GG pattern against an opaque background in a blue shade.</p><p>The belt bag is completed with an adjustable buckle closure and front zipper pocket. Blue GG nylon made from ECONYL®— a nylon fabric sourced from regenerated materials that can be recycled and recreated, aiding in decreasing its ecological footprint.</p><p>White leather trims made from leather tanned through an alternative metal or chrome free tanning process, reducing the environmental footprint compared to traditional methods. Palladium-toned metal hardware made from recycled brass alloys with nickel-free finishes. Ribbon trims and plastic buckles made from recycled materials. Sewn using recycled polyester thread. Regenerated nylon lining.</p><p>Exterior: front zipper pocket. Interior: 1 zipper pocket, 1 open pocket. Nylon strap with buckle closure. Zipper closure.</p><p>Dimensions: W24cm x H14cm x D5.5cm Weight: 0.5kg.</p><p>Made in Italy.</p>",Men,Bags,Gucci
Leather Loafer,<p>Black leather. Embroidered wolf head appliqué.</p><p>Leather sole. 1.2 cm heel height. Made in Italy.</p>,Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Jogging Pant,<p>Sand felted cotton. GG stripe down the sides. Elastic waistband.</p><p>Made in Italy.</p>,Men,Bottoms,Gucci
,,,,
,,,,
,,,,
Le Cagole XS Shoulder Bag Crocodile Embossed,"<p>Le Cagole XS Shoulder Bag in black extra supple crocodile embossed calfskin, black matte hardware</p><p>Dimensions : L10,2 x H6,3 x W2,7 inch</p><p>Extra supple crocodile embossed calfskin</p><p>Shoulder bag</p><p>Adjustable shoulder strap (18,1 inch)</p><p>Leather braided shoulder pad</p><p>Zipped closure with knotted leather puller</p><p>Black matte hardware</p><p>1 removable zipped pouch</p><p>1 removable heart mirror</p><p>Tone-on-tone Balenciaga logo embossed on the mirror</p><p>Cotton canvas lining</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 100% calfskin",Women,Bags,Balenciaga
Puddle Ankle Boot,"<p>Glitter rubber ankle boots. Lining: Cotton.</p><p>Colour: MultiColour. One-piece moulded shoe.</p><p>Flatform: 5.5 cm | 2.2"" . Take care when using on particularly slippery surfaces.</p><p>100% Rubber.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maxi Godet Dress,"<p>Maxi Godet Dress in black cotton peeling rib knit is from the look 5 of the Balenciaga’s Winter 22 Collection, 360° Show</p><p>Cotton peeling rib knit</p><p>Bodycon fit</p><p>High neck</p><p>Long sleeves</p><p>Slightly transparent fabric</p><p>Maxi length</p><p>Crinkled effect</p><p>Made in Italy</p><p>Dry cleaning</p><p>Material: 50% cotton, 50% polyester",Women,Dresses,Balenciaga
,,,,
